indentometer	corneometer	tewameter	melanin	erythema	Age	MARKVU.PGA.AGE	height	weight	BMI	SUR1_GY	SUR1.T2D	SUR1.HBP	SUR1.Hlip	SUR1.T2D.HBP.Hlip	SUR1.T2D.Hlip	SUR1.PAD	SUR1.Tuber	SUR1.stroke	SUR2.1	SUR2.2	SUR2.3	SUR2.4	SUR2.5	SUR2.6	SUR2.7	SUR3.2	SUR3.3	SUR3.4	SUR4.1	SUR4.3	SUR5.1	SUR5.2	SUR5.3	SUR5.4	SUR5.5_GY	SUR5.6_GY
indentometer	1	-0.062824561799356	0.099977236613492	0.042521079458062	0.0124237374504133	-0.00356073665706755	-0.0213935245785798	0.0044811974581651	0.00865289874106386	-0.00571954029408129	-0.0744066855534464	-0.0237700006352905	-0.0200407150004941	-0.0773020332885065	-0.0811359756821342	-0.0603280391997636	-0.0237859463919274	-0.0348524627727197	-0.0301924555652326	0.0342308892941192	0.0844879245554771	0.0388247865986985	0.0046939753652286	0.000891251626376404	0.0473642935501266	0.0214117402993781	-0.0300626162174437	-0.032126847477233	0.0416270305934592	-0.0532467839946283	-0.0191639053808664	0.0141325604123673	0.0330871796589921	-0.00793771665825693	0.0279723237394647	0.054170208253285	0.0349514791849959
corneometer	-0.062824561799356	1	0.133245781908233	-0.0970468009949167	-0.0499213113250457	-0.111166382217229	0.0532779090884235	-0.10081773319722	0.0310575664399308	-0.00994587909337908	0.0577392153271221	0.0484234544299675	0.061117081286762	0.0175290636619438	0.0603429581122008	0.0549630375816721	0.0221220790889713	0.00637375989456737	0.0136516701453815	-0.0245482342831864	-0.0311671104240495	-0.0603883802255668	-0.00825779751182342	-0.0307959077913165	-0.100297347760193	-0.0394375904897097	-0.0397795942886057	-0.0380087155526097	-0.0249093918774989	0.0492359206341879	-0.00956220097727317	-0.00792221503451497	-0.00967774914823342	0.0112378620676557	-0.0396928703258158	0.00718188924213169	0.0133320162710543
tewameter	0.099977236613492	0.133245781908233	1	-0.0458664214907172	0.0116249829922767	-0.074115423633865	0.0698641020606225	-0.0244532738058357	0.133841598462639	0.11259715681358	0.0109340576176052	-0.00201136688463455	0.0286660033242699	0.00233896183280189	0.0027427677653935	-0.00698359990538992	0.0218980088637301	0.0219413939487287	0.0257964998802231	0.0103673019476333	0.0197787127071564	0.0250680051550661	0.0373920342085679	0.0462534201741956	-0.0137015513026827	0.0181164028853314	-0.00854704035243179	-0.0415683776494445	-0.0116371187936052	0.0194133665714149	-0.0364881429940283	0.0507721536897643	-0.0403012486887164	0.0248304399689428	0.00877272292948008	-0.00526090027777499	0.0713435508626306
melanin	0.042521079458062	-0.0970468009949167	-0.0458664214907172	1	0.370627426108924	0.231475268681467	0.111794190773795	-0.015157381419964	0.0505570159110385	0.0759643514718406	-0.0977939235134141	-0.0843702519005007	-0.0578465967801003	-0.0387776709416547	-0.0899759654819794	-0.0907781946057083	-0.0455161253209077	-0.0294433547420646	-0.0421986699531079	-0.031631982184266	0.034560126408007	0.0861464901431551	0.00826509755399073	-0.0313117140626948	0.0794820544079239	-0.0243402625269885	0.0526556565393839	-0.0797674514408719	-0.00851144742175159	-0.0172221385275097	0.0674103418830584	0.0420534899956845	0.0624668278567306	0.040439396148219	0.0350894159648384	-0.00966331124244897	0.0271398709663314
erythema	0.0124237374504133	-0.0499213113250457	0.0116249829922767	0.370627426108924	1	0.123974082138268	0.210166348567582	-0.0112309734904808	0.181199928555397	0.157697620215232	-0.125010610147242	-0.0779863515528585	-0.122250893045348	-0.0362469360480541	-0.124167549564149	-0.0921852242810001	-0.0112893038132729	-0.014573424582087	-0.0342285309338147	-0.0208184459950091	0.0706447651313558	0.00461013832019644	-0.0440376735968366	0.0407476495972104	0.0398435916847881	-0.0545254195234138	0.00442221599334925	-0.039269226950584	-0.0434272781853639	-0.0276323816610428	-0.03199124786863	-0.0232838938258567	0.0139342147949881	0.0261170648721778	0.0267672062580356	0.0325190007610333	0.0715898053149755
Age	-0.00356073665706755	-0.111166382217229	-0.074115423633865	0.231475268681467	0.123974082138268	1	-0.138738464306222	0.0274966273322694	-0.0512295246812825	0.113639805880515	-0.256771229299975	-0.0897781363246033	-0.173656380497531	-0.0977361925197353	-0.241874996834575	-0.150825652129587	-0.138152135147433	-0.00103390939654065	-0.0361458484075104	-0.0562431506025274	0.0411123808874571	0.148586592769853	0.140165733129131	0.0624075339387569	0.0942922399670791	0.0630564757408759	-0.0890961251858752	-0.119529980825398	-0.158564311442343	-0.0203043833831326	-0.0138199834195506	-0.0874050034332768	-0.0457308083733326	0.00679906397953883	0.0234639484394096	-0.111565566014973	0.0173778847680396
MARKVU.PGA.AGE	-0.0213935245785798	0.0532779090884235	0.0698641020606225	0.111794190773795	0.210166348567582	-0.138738464306222	1	0.00130987916546763	0.164305037614423	0.163531654097318	-0.0299939264927788	-0.0315682440927232	-0.0485546901770119	0.037452926367748	-0.0168297878114329	0.0137424795181513	-0.0349520430836495	-0.0188648881029367	-0.0102744705796884	0.112908795944616	0.0554944571859967	0.0570372617515643	0.022050162790923	-0.0169455840640628	0.0186123021714066	0.0359312119360349	-0.0111962575813303	-0.0486011397971245	0.064453231582829	-0.0643410640887559	0.0414584708433725	-0.0542856321312798	-0.0194298973381452	0.0509113937445531	0.0143567597025364	0.0353294521395416	-0.0324098694090637
height	0.0044811974581651	-0.10081773319722	-0.0244532738058357	-0.015157381419964	-0.0112309734904808	0.0274966273322694	0.00130987916546763	1	0.0136440549623154	-0.177788375101497	-0.0277066472830698	0.0191841397348789	0.0292687423657876	-0.0498492722973561	-0.0289779962553852	-0.0407794578667099	0.0138171501423957	0.00905522575657286	0.0096940371247221	-0.0289495882061789	-0.0248455004565644	-0.0503348612572365	0.0101593862739188	0.0106267931470698	0.0371342335968289	0.0205744976081989	-0.0307957168505888	-0.0356492757679917	-0.037068201232999	0.00432541018080941	0.0171240539149268	0.0117810601131761	0.0252358871534965	-0.0395493942868816	0.00464225089751852	-0.0140657540988753	-0.00216078576722431
weight	0.00865289874106386	0.0310575664399308	0.133841598462639	0.0505570159110385	0.181199928555397	-0.0512295246812825	0.164305037614423	0.0136440549623154	1	0.848096257534687	-0.104998892380831	-0.0289954879379319	-0.140813053492201	-0.00722502360136219	-0.108883999187132	-0.0376862459351418	0.0265826024690573	0.0347579825106409	-0.0346166060779235	0.048388579524251	0.0236523531852704	0.0366557405944613	0.0472969080080224	0.0806456369804427	0.041749704223498	0.0424129994898015	0.0715706255665695	0.0141474562778127	0.113316632078388	0.0114785899418989	0.0751652725098835	0.070199722520644	0.0909968759320859	-0.0393775987750891	0.0182964379491799	-0.022568870972085	-0.00707376459595064
BMI	-0.00571954029408129	-0.00994587909337908	0.11259715681358	0.0759643514718406	0.157697620215232	0.113639805880515	0.163531654097318	-0.177788375101497	0.848096257534687	1	-0.212387089843033	-0.0873495591981021	-0.182811776081685	-0.0643725792519444	-0.208307094286328	-0.120931297931097	-0.010316741101213	0.0446427288822804	-0.0306061641587106	0.0309951779461402	0.0313594201286054	0.0726277545158073	0.0841440353906926	0.0832905681359596	0.0593154327140169	0.0463405305402821	0.0905692445290577	0.0171653530809164	0.132906448371028	0.0173527749233925	0.0447346956364035	0.0621679200244411	0.0746870048996545	-0.0246547098939525	0.0211070958040894	-0.0348541420285826	0.00301260082787827
