# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_upstream_gene_variant
5S_rRNA	ENSG00000252830	ENST00000517021	rRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5S_rRNA	ENSG00000274059	ENST00000618635	rRNA	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	1
7SK	ENSG00000277313	ENST00000622040	misc_RNA	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
A3GALT2	ENSG00000184389	ENST00000442999	protein_coding	0	0	0	8	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0
AADACL3	ENSG00000188984	ENST00000359318	protein_coding	0	0	0	5	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2
AADACL3	ENSG00000188984	ENST00000620146	processed_transcript	0	0	0	5	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2
AADACL4	ENSG00000204518	ENST00000376221	protein_coding	0	0	0	14	0	0	0	0	0	0	2	0	11	0	0	0	0	0	0	0	0	0	1
ABC14-1188822O7.1	ENSG00000283259	ENST00000638002	antisense	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCA4	ENSG00000198691	ENST00000370225	protein_coding	0	1	0	68	0	0	0	0	0	0	2	0	67	0	0	0	0	1	0	0	0	0	0
ABCA4	ENSG00000198691	ENST00000460514	processed_transcript	0	0	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
ABCA4	ENSG00000198691	ENST00000465352	processed_transcript	0	0	0	18	0	0	0	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0	7
ABCA4	ENSG00000198691	ENST00000470771	processed_transcript	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
ABCA4	ENSG00000198691	ENST00000472033	processed_transcript	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ABCA4	ENSG00000198691	ENST00000484388	processed_transcript	0	0	0	8	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	3
